text,prompt,option1,option2,answer,score1,score2,pred,correct,difference
"Foreign films must include English subtitles, and each country can submit only one film for consideration in the International Feature Film category per year.","Foreign films must include English subtitles, and each country can",submits,submit,submit,-24.681344985961914,-13.271920204162598,submit,True,11.409424781799316
"Butane is the most common alkane that is put under the process of isomerization, as it makes many branched alkanes with high octane numbers.","Butane is the most common alkane that is put under the process of isomerization, as it",makes,make,makes,-10.433951377868652,-10.269832611083984,make,,-0.16411876678466797
"Patron of sailors Apollo functions as the patron and protector of sailors, one of the duties he shares with Poseidon.","Patron of sailors Apollo functions as the patron and protector of sailors, one of the duties he",share,shares,shares,-12.352914810180664,-23.91181182861328,share,,-11.558897018432617
"Acknowledging Aristotle as her greatest influence, Rand remarked that in the history of philosophy she could only recommend ""three A's"" Aristotle, Aquinas, and Ayn Rand.","Acknowledging Aristotle as her greatest influence, Rand remarked that in the history of philosophy she could only",recommends,recommend,recommend,-26.886959075927734,-26.078947067260742,recommend,True,0.8080120086669922
"Under their higher valences, radionuclides of elements such as selenium, technetium, uranium, neptunium and plutonium have a higher solubility and are also often present in water as non-retarded anions.","Under their higher valences, radionuclides of elements such as selenium, technetium, uranium, neptunium and plutonium",has,have,have,-12.931524276733398,-12.815400123596191,have,True,0.11612415313720703
"Johnston glanced down at his leg wound, then faced Harris and replied in a weak voice his last words: ""Yes... and I fear seriously.""","Johnston glanced down at his leg wound, then faced Harris and replied in a weak voice his last words: ""Yes... and I",fear,feares,fear,-12.462913513183594,-25.312171936035156,fear,True,12.849258422851562
"John Locke's First Treatise of Government John Locke commented: ""Be it then as Sir Robert says, that Anciently, it was usual for Men to sell and Castrate their Children.","John Locke's First Treatise of Government John Locke commented: ""Be it then as Sir Robert",says,say,says,-12.644983291625977,-12.292336463928223,say,,-0.3526468276977539
"John Locke's First Treatise of Government John Locke commented: ""Be it then as Sir Robert says, that Anciently, it was usual for Men to sell and Castrate their Children.","John Locke's First Treatise of Government John Locke commented: ""Be it then as Sir Robert says, that Anciently, it was usual for Men to",sells,sell,sell,-23.258573532104492,-11.577485084533691,sell,True,11.6810884475708
"Aristotle uses the term 'memory' for the actual retaining of an experience in the impression that can develop from sensation, and for the intellectual anxiety that comes with the impression because it is formed at a particular time and processing specific contents.",Aristotle uses the term 'memory' for the actual retaining of an experience in the impression that can,develop,develops,develop,-24.31603240966797,-36.51928424835205,develop,True,12.203251838684082
"Aristotle uses the term 'memory' for the actual retaining of an experience in the impression that can develop from sensation, and for the intellectual anxiety that comes with the impression because it is formed at a particular time and processing specific contents.","Aristotle uses the term 'memory' for the actual retaining of an experience in the impression that can develop from sensation, and for the intellectual anxiety that",come,comes,comes,-11.37930965423584,-11.259161949157715,comes,True,0.120147705078125
"If the head of government is not satisfied with the council, he may request that the co-princes dissolve the council and order new elections.","If the head of government is not satisfied with the council, he may",request,requests,request,-10.265780448913574,-22.06742286682129,request,True,11.801642417907715
"If the head of government is not satisfied with the council, he may request that the co-princes dissolve the council and order new elections.","If the head of government is not satisfied with the council, he may request that the co-princes",dissolve,dissolves,dissolve,-33.18760013580322,-33.096877098083496,dissolves,,-0.09072303771972656
