text,prompt,option1,option2,answer,score1,score2,pred,correct,difference
"Foreign films must include English subtitles, and each country can submit only one film for consideration in the International Feature Film category per year.","Foreign films must include English subtitles, and each country can",submits,submit,submit,-23.850563049316406,-12.009808540344238,submit,True,11.840754508972168
"Butane is the most common alkane that is put under the process of isomerization, as it makes many branched alkanes with high octane numbers.","Butane is the most common alkane that is put under the process of isomerization, as it",makes,make,makes,-8.91823959350586,-8.750492095947266,make,,-0.16774749755859375
"Patron of sailors Apollo functions as the patron and protector of sailors, one of the duties he shares with Poseidon.","Patron of sailors Apollo functions as the patron and protector of sailors, one of the duties he",share,shares,shares,-9.632387161254883,-18.314834594726562,share,,-8.68244743347168
"Acknowledging Aristotle as her greatest influence, Rand remarked that in the history of philosophy she could only recommend ""three A's"" Aristotle, Aquinas, and Ayn Rand.","Acknowledging Aristotle as her greatest influence, Rand remarked that in the history of philosophy she could only",recommends,recommend,recommend,-23.09621810913086,-22.458606719970703,recommend,True,0.6376113891601562
"Under their higher valences, radionuclides of elements such as selenium, technetium, uranium, neptunium and plutonium have a higher solubility and are also often present in water as non-retarded anions.","Under their higher valences, radionuclides of elements such as selenium, technetium, uranium, neptunium and plutonium",has,have,have,-9.227500915527344,-9.4595308303833,has,,-0.23202991485595703
"Johnston glanced down at his leg wound, then faced Harris and replied in a weak voice his last words: ""Yes... and I fear seriously.""","Johnston glanced down at his leg wound, then faced Harris and replied in a weak voice his last words: ""Yes... and I",fear,feares,fear,-10.537939071655273,-20.93887710571289,fear,True,10.400938034057617
"John Locke's First Treatise of Government John Locke commented: ""Be it then as Sir Robert says, that Anciently, it was usual for Men to sell and Castrate their Children.","John Locke's First Treatise of Government John Locke commented: ""Be it then as Sir Robert",says,say,says,-11.896860122680664,-11.524859428405762,say,,-0.37200069427490234
"John Locke's First Treatise of Government John Locke commented: ""Be it then as Sir Robert says, that Anciently, it was usual for Men to sell and Castrate their Children.","John Locke's First Treatise of Government John Locke commented: ""Be it then as Sir Robert says, that Anciently, it was usual for Men to",sells,sell,sell,-20.81983757019043,-10.421920776367188,sell,True,10.397916793823242
"Aristotle uses the term 'memory' for the actual retaining of an experience in the impression that can develop from sensation, and for the intellectual anxiety that comes with the impression because it is formed at a particular time and processing specific contents.",Aristotle uses the term 'memory' for the actual retaining of an experience in the impression that can,develop,develops,develop,-20.092981338500977,-30.11070728302002,develop,True,10.017725944519043
"Aristotle uses the term 'memory' for the actual retaining of an experience in the impression that can develop from sensation, and for the intellectual anxiety that comes with the impression because it is formed at a particular time and processing specific contents.","Aristotle uses the term 'memory' for the actual retaining of an experience in the impression that can develop from sensation, and for the intellectual anxiety that",come,comes,comes,-9.947887420654297,-9.950563430786133,come,,-0.0026760101318359375
"If the head of government is not satisfied with the council, he may request that the co-princes dissolve the council and order new elections.","If the head of government is not satisfied with the council, he may",request,requests,request,-8.921574592590332,-18.8215274810791,request,True,9.89995288848877
"If the head of government is not satisfied with the council, he may request that the co-princes dissolve the council and order new elections.","If the head of government is not satisfied with the council, he may request that the co-princes",dissolve,dissolves,dissolve,-27.137429237365723,-27.33834171295166,dissolve,True,0.2009124755859375
"Theoretical production ecology, relating to crop production modeling Traditional agricultural systems, sometimes termed subsistence agriculture, which feed most of the poorest people in the world.","Theoretical production ecology, relating to crop production modeling Traditional agricultural systems, sometimes termed subsistence agriculture, which",feed,feeds,feed,-11.565128326416016,-23.01763153076172,feed,True,11.452503204345703
"If a party is dissatisfied with the finding of such a tribunal, one generally has the power to request a trial ""de novo"" by a court of record.","If a party is dissatisfied with the finding of such a tribunal, one generally",has,have,has,-8.737592697143555,-9.209295272827148,has,True,0.47170257568359375
Feeding The aardvark is nocturnal and is a solitary creature that feeds almost exclusively on ants and termites (myrmecophagy); the only fruit eaten by aardvarks is the aardvark cucumber.,Feeding The aardvark is nocturnal and is a solitary creature that,feeds,feed,feeds,-16.835845947265625,-8.354751586914062,feed,,-8.481094360351562
"He took an approach different from those before him, using this analogy not in the manner of soul-purification but in the manner that humans must have certain balances of minerals in their bodies, and that certain illnesses of the body had chemical remedies that could cure them.","He took an approach different from those before him, using this analogy not in the manner of soul-purification but in the manner that humans must",have,has,have,-9.725198745727539,-9.52445125579834,has,,-0.20074748992919922
"He took an approach different from those before him, using this analogy not in the manner of soul-purification but in the manner that humans must have certain balances of minerals in their bodies, and that certain illnesses of the body had chemical remedies that could cure them.","He took an approach different from those before him, using this analogy not in the manner of soul-purification but in the manner that humans must have certain balances of minerals in their bodies, and that certain illnesses of the body had chemical remedies that could",cure,cures,cure,-19.893281936645508,-19.839414596557617,cures,,-0.053867340087890625
